,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
12,D68EV3CPROA-x0157_1B,D68EV3CPROA-x0157,Oc1cc(O)n2ccnc2n1,Oc1cc(O)n2ccnc2n1,Z1198233191,3 - NCS packing interface,None
13,D68EV3CPROA-x0170_0A,D68EV3CPROA-x0170,N#Cc1cncc2OCCNc12,N#Cc1cncc2OCCNc12,Z1201628402,2 - R-19 & Y-48 pocket (Chain B only),None
14,D68EV3CPROA-x0174_0A,D68EV3CPROA-x0174,CN(C(=O)C)c1cccnc1,CN(C(=O)C)c1cccnc1,Z1203252645,3 - NCS packing interface,None
15,D68EV3CPROA-x0176_0A,D68EV3CPROA-x0176,NCc1ccn2ccnc2c1,NCc1ccn2ccnc2c1,Z1203586731,5 - Random locations,None
16,D68EV3CPROA-x0188_0B,D68EV3CPROA-x0188,CC(=O)NCCc1c[nH]c2ccc(F)cc12,CC(=O)NCCc1c[nH]c2ccc(F)cc12,Z1220452176,3 - NCS packing interface,None
17,D68EV3CPROA-x0191_0A,D68EV3CPROA-x0191,OC(=O)c1ccnn1C2CCOCC2,OC(=O)c1ccnn1C2CCOCC2,Z1230013388,2 - R-19 & Y-48 pocket (Chain B only),None
18,D68EV3CPROA-x0228_0A,D68EV3CPROA-x0228,Cl.O=C(N1CCCC1)c2cn[nH]c2,Cl.O=C(N1CCCC1)c2cn[nH]c2,Z1266933824,5 - Random locations,None
19,D68EV3CPROA-x0232_0B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,4 - C60 both locations,None
20,D68EV3CPROA-x0232_1B,D68EV3CPROA-x0232,NS(=O)(=O)c1ccc2ncsc2c1,NS(=O)(=O)c1ccc2ncsc2c1,Z1269184613,4 - C60 both locations,None
21,D68EV3CPROA-x0243_0B,D68EV3CPROA-x0243,Cc1cc(F)cc(c1)S(=O)(=O)N,Cc1cc(F)cc(c1)S(=O)(=O)N,Z1295863442,6 - Chain B Catalytic site,None
22,D68EV3CPROA-x0253_0B,D68EV3CPROA-x0253,CCC(CC)C(=O)Nc1ccccc1O,CCC(CC)C(=O)Nc1ccccc1O,Z1331830630,3 - NCS packing interface,None
23,D68EV3CPROA-x0688_0B,D68EV3CPROA-x0688,OC1CN(C1)C(c2ccccc2)c3ccccc3,OC1CN(C1)C(c2ccccc2)c3ccccc3,Z1342868616,2 - R-19 & Y-48 pocket (Chain B only),None
24,D68EV3CPROA-x0695_0B,D68EV3CPROA-x0695,CC(=O)N1CCN(CCCc2ccccc2)CC1,CC(=O)N1CCN(CCCc2ccccc2)CC1,Z137811222,2 - R-19 & Y-48 pocket (Chain B only),None
25,D68EV3CPROA-x0698_0B,D68EV3CPROA-x0698,Cl.CC(N)c1nc(Cc2ccccc2)no1,Cl.CC(N)c1nc(Cc2ccccc2)no1,Z1398461996,2 - R-19 & Y-48 pocket (Chain B only),None
26,D68EV3CPROA-x0708_0B,D68EV3CPROA-x0708,CC1OCCN(C1C)c2nc(C)ns2,CC1OCCN(C1C)c2nc(C)ns2,Z1439422127,2 - R-19 & Y-48 pocket (Chain B only),None
27,D68EV3CPROA-x0712_0A,D68EV3CPROA-x0712,Cl.O=C(NC1CCCNC1)c2ccccc2,Cl.O=C(NC1CCCNC1)c2ccccc2,Z1456069604,3 - NCS packing interface,None
28,D68EV3CPROA-x0717_0A,D68EV3CPROA-x0717,OC(=O)COCc1ccccc1,OC(=O)COCc1ccccc1,Z147646786,4 - C60 both locations,None
29,D68EV3CPROA-x0765_0A,D68EV3CPROA-x0765,Cn1ccnc1c2noc(n2)C3CCC3,Cn1ccnc1c2noc(n2)C3CCC3,Z1685106505,2 - R-19 & Y-48 pocket (Chain B only),None
30,D68EV3CPROA-x0771_0A,D68EV3CPROA-x0771,Cl.NC(=O)c1ccc2NCCc2c1,Cl.NC(=O)c1ccc2NCCc2c1,Z1696091761,3 - NCS packing interface,None
