,smiles,cmpd_id,fragmentA,fragmentB,sucos,int_count
13,O=C(C=Cc1ccc2c(c1)OCO2)NCCc1nnc2ccccn12,MOLPORT:002-662-833,x1594_0A,x1140_0A,0.6976395502996192,2
14,CSCC[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,"MOLPORT:002-662-194,ENAMINE:Z154331110",x1140_0A,x1594_0A,0.6970150800227913,6
15,CC(C)[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,MOLPORT:005-976-152,x1594_0A,x1140_0A,0.6965578770467187,4
16,Cc1ccn2cnnc2c1NC(=O)c1ccc2c(c1)OCO2,ENAMINE:PV-001807981377,x1594_0A,x1140_0A,0.6925735997008136,3
17,O=C(Nc1ccc2c(c1)OCO2)c1ccc2nnc(S)n2c1,ENAMINE:Z2027381694,x1594_0A,x1140_0A,0.6924575619447421,3
18,O=C(CCc1ccc2c(c1)OCO2)N1CCC[C@@H]1c1nnc2ccccn12,MOLPORT:007-123-258,x1140_0A,x1594_0A,0.6916898226841777,4
19,C[C@@H](Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc2c(c1)OCO2,MOLPORT:009-461-148,x1594_0A,x1140_0A,0.6905953158677383,3
20,O=C(NCc1ccc2c(c1)OCO2)NCc1nnc2cc(C(F)(F)F)ccn12,MOLPORT:038-940-585,x1594_0A,x1140_0A,0.6885456067275016,2
21,O=C(NCCc1nnc2ccccn12)c1c(F)ccc2c1OCO2,ENAMINE:PV-001909292151,x1140_0A,x1594_0A,0.6863321653040974,3
22,O=C(NCc1ccc2c(c1)OCO2)[C@H]1CCCN(c2nnc3ccccn23)C1,MOLPORT:010-964-018,x1594_0A,x1140_0A,0.6863083182826452,4
23,CN(Cc1nnc2ccccn12)C(=O)c1cc(Cl)c2c(c1)OCO2,MOLPORT:020-071-899,x1140_0A,x1594_0A,0.6861521008399181,4
24,Cc1cc2c(cc1NC(=O)N[C@@H](C)c1nnc3ccccn13)OCO2,ENAMINE:Z1637916043,x1140_0A,x1594_0A,0.6853108772548294,4
25,COc1cc(CNCc2nnc3ccccn23)cc2c1OCO2,ENAMINE:Z86202436,x1140_0A,x1594_0A,0.6824564224675028,5
26,Cc1cc2c(cc1NC(=O)N(C)Cc1nnc3ccccn13)OCO2,ENAMINE:Z1637924862,x1140_0A,x1594_0A,0.6818514482339154,5
27,CSCC[C@H](NC(=O)Nc1cc2c(cc1C)OCO2)c1nnc2ccccn12,ENAMINE:Z1637928302,x1140_0A,x1594_0A,0.6810605417451623,3
28,CCC[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,MOLPORT:020-072-151,x1594_0A,x1140_0A,0.6784246179986314,3
29,O[C@@H](CNCCc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:020-061-754,x1594_0A,x1140_0A,0.6778206254793632,2
30,Cc1cc2c(cc1NC(=O)CSc1nnc3ccccn13)OCO2,ENAMINE:Z1644890288,x1140_0A,x1594_0A,0.6777847877239624,4
31,O=C(NCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,MOLPORT:009-308-595,x1140_0A,x1594_0A,0.6764902849171878,5
32,CC(C)[C@H](O)c1nnc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn12,MOLPORT:047-923-556,x1594_0A,x1140_0A,0.6763157194946953,7
33,NC(=O)c1ccc(N2CCC[C@@H]2c2ccc3c(c2)OCO3)nc1,ENAMINE:Z1225461273,x1498_0A,x1140_0A,0.6731722618958454,6
34,CCc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,MOLPORT:010-931-679,x1594_0A,x1140_0A,0.6730073032328062,4
35,Cc1nnc2c(N(C)CCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z2861823966,x0147_0A,x1140_0A,0.6720988553625667,2
36,CCc1nnc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-290,x1594_0A,x1140_0A,0.6719140794365348,3
37,O=C(Nc1nnc2ccc(Br)cn12)c1ccc2c(c1)OCO2,ENAMINE:PV-001806984740,x1594_0A,x1140_0A,0.6716079966093766,3
38,CC(=O)c1cc2c(cc1NC(=O)CSc1nnc3ccccn13)OCO2,MOLPORT:002-074-798,x1140_0A,x1594_0A,0.6711771655730245,3
39,O=C(NCCc1nnc2ccccn12)NCc1ccc2c(c1)OCO2,MOLPORT:009-308-595,x1594_0A,x1140_0A,0.6702745278573227,5
40,O=C(C=Cc1ccc2c(c1)OCO2)NCc1nnc2c(O)nccn12,MOLPORT:039-074-853,x0147_0A,x1140_0A,0.6702722674259923,7
41,CN(Cc1ccc2c(c1)OCO2)c1nnc2ccc(Br)cn12,ENAMINE:PV-004087910015,x1594_0A,x1140_0A,0.6694955419325544,3
42,Cc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,MOLPORT:010-931-630,x1594_0A,x1140_0A,0.6687186498966516,3
43,O=C(CSc1nnc2ccccn12)NCCN1C(=O)SC(=Cc2ccc3c(c2)OCO3)C1=O,MOLPORT:044-212-335,x1140_0A,x1594_0A,0.6687111365777938,2
